             (1,R1)       (2,R1)       (1,R2)       (2,R2)
  [1,] 2.387251e-01 4.103916e-01 1.222999e-01 2.285834e-01
  [2,] 2.337474e-01 4.054807e-01 1.246809e-01 2.360909e-01
  [3,] 2.513841e-01 3.855407e-01 1.366162e-01 2.264590e-01
  [4,] 3.037600e-01 3.313357e-01 1.719164e-01 1.929879e-01
  [5,] 4.008768e-01 2.704290e-01 1.918604e-01 1.368337e-01
  [6,] 5.036914e-01 1.390858e-01 2.883163e-01 6.890646e-02
  [7,] 5.935413e-01 2.174364e-02 3.761127e-01 8.602393e-03
  [8,] 2.661960e-01 3.819014e-01 1.342925e-01 2.176102e-01
  [9,] 2.621848e-01 4.046418e-01 1.116569e-01 2.215166e-01
 [10,] 1.036047e-01 5.546251e-01 3.882105e-02 3.029491e-01
 [11,] 4.821521e-01 1.519824e-01 2.868738e-01 7.899178e-02
 [12,] 5.516646e-01 6.980258e-02 3.445711e-01 3.396169e-02
 [13,] 6.086823e-01 2.667120e-03 3.879347e-01 7.159545e-04
 [14,] 2.315821e-01 4.097509e-01 1.212280e-01 2.374390e-01
 [15,] 2.125631e-01 4.292124e-01 1.076262e-01 2.505983e-01
 [16,] 1.771304e-01 4.634801e-01 8.723689e-02 2.721526e-01
 [17,] 2.194191e-01 4.183598e-01 1.152443e-01 2.469768e-01
 [18,] 3.053542e-01 3.310056e-01 1.717452e-01 1.918949e-01
 [19,] 5.123300e-01 1.138563e-01 3.147619e-01 5.905175e-02
 [20,] 5.069116e-01 1.190219e-01 3.115759e-01 6.249056e-02
 [21,] 5.767632e-01 3.798758e-02 3.680810e-01 1.716821e-02
 [22,] 6.797526e-02 5.718662e-01 2.477997e-02 3.353786e-01
 [23,] 6.854221e-02 5.837483e-01 1.689572e-02 3.308138e-01
 [24,] 3.389895e-02 6.058076e-01 9.713996e-03 3.505794e-01
 [25,] 9.319764e-06 6.279724e-01 3.267856e-09 3.720183e-01
 [26,] 3.297474e-02 6.043996e-01 9.916499e-03 3.527092e-01
 [27,] 7.112913e-02 5.826786e-01 2.501084e-02 3.211815e-01
 [28,] 4.110087e-02 5.895150e-01 1.128642e-02 3.580977e-01
 [29,] 1.672724e-02 5.969446e-01 4.332097e-03 3.819960e-01
 [30,] 1.065369e-02 5.968372e-01 3.132603e-03 3.893765e-01
 [31,] 2.280748e-02 6.086897e-01 6.497980e-03 3.620048e-01
 [32,] 7.517896e-02 6.521098e-01 6.366694e-03 2.663445e-01
 [33,] 6.238591e-04 5.978721e-01 2.239780e-05 4.014817e-01
 [34,] 2.743570e-04 5.988985e-01 1.457850e-05 4.008126e-01
 [35,] 8.367853e-05 6.064872e-01 1.154721e-06 3.934280e-01
 [36,] 3.505863e-02 5.828705e-01 1.356447e-02 3.685064e-01
 [37,] 1.149116e-01 5.259629e-01 5.104167e-02 3.080838e-01
 [38,] 9.357462e-02 5.490636e-01 3.775195e-02 3.196098e-01
 [39,] 3.209184e-01 3.687719e-01 1.347769e-01 1.755327e-01
 [40,] 3.509368e-01 3.694841e-01 1.159258e-01 1.636534e-01
 [41,] 6.689665e-01 3.462179e-04 3.306209e-01 6.631689e-05
 [42,] 6.659044e-01 4.390351e-08 3.340956e-01 4.271888e-09
 [43,] 6.654062e-01 5.050502e-09 3.345938e-01 1.754218e-11
 [44,] 7.949023e-05 6.863936e-01 3.541249e-08 3.135269e-01
 [45,] 1.294742e-07 6.802540e-01 3.523161e-12 3.197459e-01
 [46,] 2.345444e-10 6.780774e-01 1.361748e-16 3.219226e-01
 [47,] 6.443686e-01 3.536087e-06 3.556272e-01 6.352941e-07
 [48,] 6.441614e-01 7.311759e-10 3.558386e-01 5.263400e-11
 [49,] 6.441367e-01 4.765817e-12 3.558633e-01 7.056888e-15
 [50,] 6.441161e-01 3.463659e-10 3.558839e-01 3.468976e-14
 [51,] 6.441519e-01 1.175183e-09 3.558481e-01 9.647419e-11
 [52,] 6.440902e-01 3.192323e-09 3.559098e-01 4.016377e-12
 [53,] 6.436236e-01 1.460874e-09 3.563764e-01 2.111375e-12
 [54,] 6.435586e-01 1.861148e-08 3.564413e-01 5.001049e-12
 [55,] 2.845702e-01 3.507462e-01 1.593295e-01 2.053541e-01
 [56,] 4.486014e-01 1.825361e-01 2.688281e-01 1.000344e-01
 [57,] 5.198980e-01 1.614227e-01 2.450346e-01 7.364466e-02
 [58,] 5.216322e-01 2.206864e-01 1.713715e-01 8.630989e-02
 [59,] 6.384381e-01 5.668340e-07 3.615612e-01 9.595220e-08
 [60,] 6.384012e-01 1.700458e-09 3.615988e-01 1.137650e-10
