                                                              0     1
214                                                       1.000 0.000
215                                                       1.000 0.000
216                                                       1.000 0.000
217                                                       1.000 0.000
218                                                       1.000 0.000
219                                                       1.000 0.000
220                                                       1.000 0.000
221                                                       1.000 0.000
222                                                       1.000 0.000
223                                                       1.000 0.000
224                                                       1.000 0.000
225                                                       1.000 0.000
226                                                       1.000 0.000
227                                                       1.000 0.000
228                                                       1.000 0.000
229                                                       1.000 0.000
230                                                       1.000 0.000
231                                                       1.000 0.000
232                                                       0.943 0.057
233                                                       1.000 0.000
234                                                       1.000 0.000
235                                                       1.000 0.000
236                                                       1.000 0.000
237                                                       1.000 0.000
238                                                       1.000 0.000
239                                                       1.000 0.000
240                                                       1.000 0.000
241                                                       1.000 0.000
242                                                       1.000 0.000
243                                                       1.000 0.000
244                                                       1.000 0.000
245                                                       0.994 0.006
246                                                       1.000 0.000
247                                                       1.000 0.000
248                                                       1.000 0.000
249                                                       0.994 0.006
250                                                       1.000 0.000
251                                                       0.045 0.955
252                                                       0.005 0.995
253                                                       0.005 0.995
254                                                       0.019 0.981
255                                                       0.000 1.000
256                                                       0.000 1.000
257                                                       0.000 1.000
258                                                       0.000 1.000
259                                                       0.000 1.000
260                                                       0.000 1.000
261                                                       0.000 1.000
262                                                       0.000 1.000
263                                                       0.000 1.000
264                                                       0.000 1.000
265                                                       0.000 1.000
266                                                       0.000 1.000
267                                                       0.000 1.000
268                                                       0.998 0.002
269                                                       1.000 0.000
270                                                       1.000 0.000
271                                                       1.000 0.000
272                                                       1.000 0.000
273                                                       1.000 0.000
274                                                       1.000 0.000
275                                                       0.965 0.035
276                                                       0.998 0.002
277                                                       1.000 0.000
278                                                       1.000 0.000
279                                                       1.000 0.000
280                                                       0.988 0.012
281                                                       0.061 0.939
282                                                       0.014 0.986
283                                                       0.000 1.000
284                                                       0.000 1.000
285                                                       0.000 1.000
286                                                       0.000 1.000
287                                                       0.000 1.000
288                                                       0.000 1.000
289                                                       0.000 1.000
290                                                       0.000 1.000
291                                                       0.000 1.000
292                                                       0.000 1.000
293                                                       0.000 1.000
294                                                       0.000 1.000
295                                                       0.000 1.000
296                                                       0.000 1.000
297                                                       0.000 1.000
298                                                       0.000 1.000
299                                                       0.000 1.000
300                                                       0.000 1.000
301                                                       0.000 1.000
302                                                       0.000 1.000
303                                                       0.000 1.000
304                                                       0.000 1.000
305                                                       0.000 1.000
306                                                       0.000 1.000
307                                                       0.000 1.000
308                                                       0.000 1.000
309                                                       0.000 1.000
310                                                       0.000 1.000
311                                                       0.000 1.000
312                                                       0.000 1.000
313                                                       0.000 1.000
314                                                       0.000 1.000
315                                                       0.000 1.000
316                                                       0.000 1.000
317                                                       0.000 1.000
318                                                       0.000 1.000
319                                                       0.000 1.000
320                                                       0.000 1.000
321                                                       0.000 1.000
322                                                       0.000 1.000
323                                                       0.000 1.000
324                                                       0.000 1.000
325                                                       0.000 1.000
326                                                       0.000 1.000
327                                                       0.000 1.000
328                                                       0.000 1.000
329                                                       0.000 1.000
330                                                       0.000 1.000
331                                                       0.000 1.000
332                                                       0.000 1.000
333                                                       0.000 1.000
334                                                       0.000 1.000
335                                                       0.000 1.000
336                                                       0.000 1.000
337                                                       0.000 1.000
