             (1,R1)       (2,R1)       (1,R2)       (2,R2)
  [1,] 1.586569e-04 1.089149e-04 9.997324e-01 1.312880e-08
  [2,] 8.062917e-05 6.059436e-05 9.998588e-01 1.232585e-10
  [3,] 2.570074e-04 2.011735e-04 9.995418e-01 1.493800e-09
  [4,] 4.444043e-04 3.637940e-04 9.991918e-01 1.106852e-08
  [5,] 7.571689e-04 6.574137e-04 9.985854e-01 7.116629e-09
  [6,] 7.937749e-04 6.883704e-04 9.985179e-01 4.690975e-09
  [7,] 1.310134e-03 1.155336e-03 9.975345e-01 4.265105e-09
  [8,] 1.999173e-04 1.545621e-04 9.996455e-01 9.840872e-10
  [9,] 1.937443e-04 1.536967e-04 9.996526e-01 3.583694e-10
 [10,] 8.221602e-04 6.905961e-04 9.984872e-01 9.154026e-09
 [11,] 4.776030e-04 4.011858e-04 9.991212e-01 5.322919e-09
 [12,] 6.856421e-04 5.851696e-04 9.987292e-01 6.245708e-09
 [13,] 1.480371e-03 1.302378e-03 9.972173e-01 1.023342e-09
 [14,] 7.961089e-05 5.891130e-05 9.998615e-01 1.970374e-10
 [15,] 4.717776e-05 3.351957e-05 9.999193e-01 4.798834e-11
 [16,] 8.971397e-05 6.694112e-05 9.998433e-01 2.418002e-10
 [17,] 1.679972e-04 1.334319e-04 9.996986e-01 6.871626e-10
 [18,] 3.737363e-04 3.025527e-04 9.993237e-01 8.003683e-09
 [19,] 2.518349e-03 2.305931e-03 9.951751e-01 6.270637e-07
 [20,] 1.250780e-03 1.114587e-03 9.976346e-01 7.623436e-08
 [21,] 1.991517e-03 1.803899e-03 9.962045e-01 5.812060e-08
 [22,] 3.877093e-04 3.164802e-04 9.992958e-01 3.610779e-09
 [23,] 2.258513e-04 1.748680e-04 9.995993e-01 2.345588e-10
 [24,] 2.026349e-04 1.602688e-04 9.996371e-01 7.183372e-11
 [25,] 3.004842e-03 1.335290e-04 9.968616e-01 1.957730e-13
 [26,] 2.701375e-04 2.042366e-04 9.995256e-01 9.803474e-11
 [27,] 4.836389e-04 3.689073e-04 9.991475e-01 1.070698e-09
 [28,] 3.221676e-04 2.593684e-04 9.994185e-01 3.039610e-09
 [29,] 2.549967e-04 1.907628e-04 9.995542e-01 5.093695e-11
 [30,] 1.777349e-04 1.426759e-04 9.996796e-01 3.131403e-10
 [31,] 6.327794e-04 5.397338e-04 9.988275e-01 2.375745e-09
 [32,] 1.029474e-03 7.718386e-04 9.981987e-01 6.569829e-11
 [33,] 3.334683e-04 2.782823e-04 9.993882e-01 1.386474e-10
 [34,] 4.992911e-04 3.836785e-04 9.991170e-01 1.066775e-10
 [35,] 6.622078e-04 4.559807e-04 9.988818e-01 2.658666e-11
 [36,] 1.150600e-03 8.053935e-04 9.980440e-01 8.728721e-10
 [37,] 1.378687e-03 1.220360e-03 9.974009e-01 2.442918e-08
 [38,] 9.737626e-03 8.304426e-03 9.819579e-01 4.006420e-08
 [39,] 2.578470e-02 2.175151e-02 9.524638e-01 2.000118e-08
 [40,] 6.075008e-02 4.550944e-02 8.937404e-01 3.439743e-08
 [41,] 7.791198e-02 6.675961e-03 9.154121e-01 1.210470e-11
 [42,] 8.380778e-02 3.514393e-05 9.161571e-01 2.180430e-17
 [43,] 8.372020e-02 2.050954e-05 9.162593e-01 1.081242e-17
 [44,] 6.229234e-01 3.447428e-01 3.232648e-02 7.371320e-06
 [45,] 3.641783e-02 9.524396e-01 4.027681e-08 1.114250e-02
 [46,] 6.733945e-05 9.838371e-01 4.768379e-17 1.609560e-02
 [47,] 2.974132e-02 4.989119e-05 9.702088e-01 2.613755e-15
 [48,] 2.977617e-02 4.407811e-07 9.702234e-01 1.027329e-20
 [49,] 2.977531e-02 1.296945e-08 9.702247e-01 8.231039e-24
 [50,] 2.977386e-02 4.639470e-07 9.702257e-01 1.366413e-20
 [51,] 2.974006e-02 1.329661e-06 9.702586e-01 4.431306e-20
 [52,] 2.972281e-02 5.115202e-06 9.702721e-01 1.725459e-18
 [53,] 2.963573e-02 9.776122e-06 9.703545e-01 1.855456e-18
 [54,] 2.960494e-02 3.035658e-05 9.703647e-01 7.265558e-17
 [55,] 1.299353e-04 1.002333e-04 9.997698e-01 5.975114e-10
 [56,] 8.098441e-04 7.066330e-04 9.984835e-01 3.604295e-08
 [57,] 9.167586e-04 8.057266e-04 9.982775e-01 2.745259e-09
 [58,] 1.048044e-03 9.112811e-04 9.980407e-01 1.732192e-09
 [59,] 4.436224e-03 2.256876e-06 9.955615e-01 3.000118e-17
 [60,] 4.450146e-03 2.038900e-07 9.955497e-01 1.253249e-20
 [61,] 4.471747e-03 1.250881e-11 9.955283e-01 6.415037e-29
 [62,] 4.877427e-05 3.446788e-05 9.999168e-01 4.194200e-11
 [63,] 1.273147e-04 9.587731e-05 9.997768e-01 1.745128e-10
 [64,] 1.053865e-03 5.630327e-04 9.983831e-01 6.264201e-11
 [65,] 2.352457e-03 6.929930e-05 9.975782e-01 2.480115e-14
 [66,] 3.595712e-04 2.836160e-04 9.993568e-01 8.432733e-10
 [67,] 8.536699e-04 7.207302e-04 9.984256e-01 5.372296e-09
 [68,] 8.683047e-05 5.900708e-05 9.998542e-01 7.793575e-11
 [69,] 9.771139e-05 6.755255e-05 9.998347e-01 1.868196e-10
 [70,] 1.524486e-05 8.077300e-06 9.999767e-01 2.924766e-12
 [71,] 4.908015e-05 3.485857e-05 9.999161e-01 4.831852e-11
 [72,] 1.325810e-04 9.491056e-05 9.997725e-01 8.415447e-11
 [73,] 1.128822e-04 8.068584e-05 9.998064e-01 2.806142e-11
 [74,] 1.212398e-04 8.706276e-05 9.997917e-01 3.233269e-11
 [75,] 1.626170e-04 1.212634e-04 9.997161e-01 1.131110e-11
 [76,] 1.947486e-04 1.388177e-04 9.996664e-01 7.929537e-12
 [77,] 3.815879e-04 2.659328e-04 9.993525e-01 7.000480e-11
 [78,] 1.040190e-04 7.280112e-05 9.998232e-01 1.339967e-10
 [79,] 5.074286e-05 2.626346e-05 9.999230e-01 6.430971e-12
 [80,] 1.913685e-05 9.863263e-06 9.999710e-01 1.648721e-13
 [81,] 1.692747e-04 7.758510e-05 9.997531e-01 1.063415e-11
 [82,] 1.631981e-05 8.950619e-06 9.999747e-01 4.255258e-13
 [83,] 1.408657e-04 8.436816e-05 9.997748e-01 2.342060e-12
 [84,] 2.273700e-04 1.306348e-04 9.996420e-01 4.713691e-12
 [85,] 7.930275e-05 4.789057e-05 9.998728e-01 9.735023e-13
 [86,] 3.054075e-04 1.505164e-04 9.995441e-01 2.201370e-12
 [87,] 1.753229e-04 8.850779e-05 9.997362e-01 4.211325e-12
 [88,] 4.594912e-06 1.961500e-06 9.999934e-01 1.472631e-13
 [89,] 1.297017e-05 5.189771e-06 9.999818e-01 1.265522e-12
 [90,] 1.932042e-03 1.247838e-03 9.968201e-01 1.502556e-10
 [91,] 1.674511e-05 8.408474e-06 9.999748e-01 1.729360e-12
 [92,] 4.298023e-04 3.470795e-04 9.992231e-01 1.002731e-09
