             (1,R1)       (2,R1)       (1,R2)       (2,R2)
  [1,] 1.272148e-02 7.873829e-03 9.792073e-01 1.973563e-04
  [2,] 1.156334e-02 7.183165e-03 9.811690e-01 8.453080e-05
  [3,] 1.599403e-02 1.056847e-02 9.729832e-01 4.542935e-04
  [4,] 2.399033e-02 1.688731e-02 9.573888e-01 1.733570e-03
  [5,] 1.211482e-01 9.772098e-02 7.632534e-01 1.787736e-02
  [6,] 7.542473e-02 5.801129e-02 8.624835e-01 4.080458e-03
  [7,] 3.807190e-02 2.803881e-02 9.336162e-01 2.731311e-04
  [8,] 2.394689e-02 1.665140e-02 9.590150e-01 3.866804e-04
  [9,] 3.616505e-02 2.452572e-02 9.386266e-01 6.826173e-04
 [10,] 1.165915e-01 9.374647e-02 7.737678e-01 1.589418e-02
 [11,] 1.874437e-02 1.271500e-02 9.681887e-01 3.518997e-04
 [12,] 1.605598e-02 1.063080e-02 9.731346e-01 1.786378e-04
 [13,] 1.845296e-02 1.114059e-02 9.703962e-01 1.020278e-05
 [14,] 9.648914e-03 5.798592e-03 9.844874e-01 6.512527e-05
 [15,] 8.581019e-03 5.039460e-03 9.863462e-01 3.332064e-05
 [16,] 1.190718e-02 7.348920e-03 9.806337e-01 1.101659e-04
 [17,] 1.214636e-02 7.682781e-03 9.800098e-01 1.611015e-04
 [18,] 1.561564e-02 1.032442e-02 9.735423e-01 5.175966e-04
 [19,] 2.869168e-02 2.153991e-02 9.447302e-01 5.038239e-03
 [20,] 2.150014e-02 1.518823e-02 9.621191e-01 1.192490e-03
 [21,] 2.198744e-02 1.542732e-02 9.620362e-01 5.490334e-04
 [22,] 1.145733e-02 6.953972e-03 9.814668e-01 1.218780e-04
 [23,] 6.155819e-03 3.113527e-03 9.907220e-01 8.686512e-06
 [24,] 4.952792e-03 2.465702e-03 9.925792e-01 2.348878e-06
 [25,] 3.934759e-02 5.470457e-04 9.601054e-01 3.681851e-09
 [26,] 5.541053e-03 2.753008e-03 9.917030e-01 2.961749e-06
 [27,] 8.391602e-03 4.443133e-03 9.871472e-01 1.805032e-05
 [28,] 5.307200e-02 4.014217e-02 9.059910e-01 7.948061e-04
 [29,] 8.483282e-02 6.185833e-02 8.531219e-01 1.869004e-04
 [30,] 8.108986e-02 6.085446e-02 8.577216e-01 3.340709e-04
 [31,] 2.238940e-01 1.724312e-01 6.017107e-01 1.964088e-03
 [32,] 4.222519e-01 3.591970e-01 2.136977e-01 4.853361e-03
 [33,] 1.591176e-02 9.647178e-03 9.744299e-01 1.114960e-05
 [34,] 1.519647e-02 9.231304e-03 9.755686e-01 3.626082e-06
 [35,] 1.779211e-02 7.018443e-03 9.751889e-01 5.904600e-07
 [36,] 1.246525e-01 8.740195e-02 7.864728e-01 1.472723e-03
 [37,] 6.295098e-02 4.858098e-02 8.870562e-01 1.411855e-03
 [38,] 4.101272e-01 3.734718e-01 1.400899e-01 7.631108e-02
 [39,] 4.225780e-01 4.751433e-01 3.463399e-02 6.764470e-02
 [40,] 5.002120e-01 4.435224e-01 4.443061e-02 1.183496e-02
 [41,] 4.109283e-01 5.819794e-01 4.198030e-03 2.894241e-03
 [42,] 7.159708e-04 9.717831e-01 6.208868e-09 2.750091e-02
 [43,] 8.822715e-05 9.683562e-01 2.789587e-12 3.155552e-02
 [44,] 3.639058e-01 7.393008e-03 6.287010e-01 1.128151e-07
 [45,] 3.566105e-01 5.510567e-04 6.428384e-01 6.951458e-11
 [46,] 3.527448e-01 1.913734e-06 6.472533e-01 1.220336e-13
 [47,] 2.049372e-04 3.576937e-01 2.194498e-09 6.421013e-01
 [48,] 1.045007e-06 3.565601e-01 1.549809e-14 6.434388e-01
 [49,] 2.304611e-08 3.564039e-01 7.279286e-17 6.435960e-01
 [50,] 1.092176e-06 3.562722e-01 7.603025e-15 6.437267e-01
 [51,] 2.337230e-06 3.563316e-01 2.338237e-14 6.436661e-01
 [52,] 1.101540e-05 3.558873e-01 1.167489e-13 6.441016e-01
 [53,] 1.535172e-05 3.526998e-01 7.634897e-14 6.472848e-01
 [54,] 6.627453e-05 3.522100e-01 1.519273e-12 6.477238e-01
 [55,] 1.390517e-02 8.929939e-03 9.769843e-01 1.806193e-04
 [56,] 1.902877e-02 1.314665e-02 9.670149e-01 8.096408e-04
 [57,] 1.310366e-02 8.261334e-03 9.785916e-01 4.340005e-05
 [58,] 1.336528e-02 8.372055e-03 9.782407e-01 2.199147e-05
 [59,] 4.685118e-02 7.146534e-06 9.531417e-01 1.112118e-11
 [60,] 4.698222e-02 4.030287e-07 9.530174e-01 1.371444e-14
 [61,] 4.720557e-02 2.569521e-11 9.527944e-01 1.241233e-18
 [62,] 2.883428e-02 2.019295e-02 9.507725e-01 2.003129e-04
 [63,] 2.967346e-02 2.083216e-02 9.493244e-01 1.700270e-04
 [64,] 2.491513e-02 6.965657e-03 9.681176e-01 1.597306e-06
 [65,] 3.811041e-02 3.482687e-04 9.615413e-01 6.347704e-10
 [66,] 5.414687e-02 3.848377e-02 9.064920e-01 8.773722e-04
 [67,] 1.321564e-01 1.064220e-01 7.495405e-01 1.188110e-02
 [68,] 5.204542e-02 3.430988e-02 9.124534e-01 1.191340e-03
 [69,] 3.170913e-02 2.127190e-02 9.465738e-01 4.451621e-04
 [70,] 5.067620e-03 2.135977e-03 9.927895e-01 6.881287e-06
 [71,] 5.111060e-03 2.644950e-03 9.922341e-01 9.853771e-06
 [72,] 5.094895e-03 2.396119e-03 9.925044e-01 4.537190e-06
 [73,] 3.978564e-03 1.788747e-03 9.942314e-01 1.330525e-06
 [74,] 3.598333e-03 1.558383e-03 9.948423e-01 1.004395e-06
 [75,] 3.403139e-03 1.462597e-03 9.951340e-01 2.637750e-07
 [76,] 3.726392e-03 1.573598e-03 9.946998e-01 1.760927e-07
 [77,] 6.635264e-03 2.725280e-03 9.906383e-01 1.180872e-06
 [78,] 5.738177e-03 2.942334e-03 9.913071e-01 1.235504e-05
 [79,] 2.526311e-03 7.695389e-04 9.967034e-01 7.872300e-07
 [80,] 9.968997e-04 2.538974e-04 9.987492e-01 2.131804e-08
 [81,] 3.497260e-03 1.002266e-03 9.954999e-01 6.197918e-07
 [82,] 7.532695e-04 1.895033e-04 9.990572e-01 2.949361e-08
 [83,] 2.984972e-03 9.325049e-04 9.960824e-01 8.405495e-08
 [84,] 4.408995e-03 1.346950e-03 9.942439e-01 1.133011e-07
 [85,] 1.931226e-03 5.728768e-04 9.974959e-01 3.811636e-08
 [86,] 6.371850e-03 1.255079e-03 9.923730e-01 4.905123e-08
 [87,] 3.505385e-03 9.866801e-04 9.955078e-01 1.446553e-07
 [88,] 1.918326e-03 6.951434e-04 9.973861e-01 3.950726e-07
 [89,] 1.915769e-03 6.365887e-04 9.974469e-01 7.896764e-07
 [90,] 2.556268e-02 7.508324e-03 9.669278e-01 1.232113e-06
 [91,] 1.996275e-03 7.151386e-04 9.972880e-01 6.045872e-07
 [92,] 9.168365e-03 5.286446e-03 9.855235e-01 2.171897e-05
 [93,] 2.369836e-02 2.926306e-03 9.733753e-01 8.053844e-08
 [94,] 3.555880e-03 1.561255e-03 9.948791e-01 3.720480e-06
 [95,] 1.491303e-02 9.557172e-03 9.754996e-01 3.020659e-05
 [96,] 5.178816e-03 2.558874e-03 9.922520e-01 1.031859e-05
 [97,] 3.656615e-03 1.713244e-03 9.946291e-01 9.952748e-07
 [98,] 8.979635e-03 4.518749e-03 9.864998e-01 1.854524e-06
 [99,] 4.508830e-03 2.044654e-03 9.934458e-01 7.111456e-07
[100,] 7.105689e-03 3.249263e-03 9.896403e-01 4.732329e-06
[101,] 3.962949e-03 1.798997e-03 9.942336e-01 4.457060e-06
[102,] 4.206779e-02 5.478475e-04 9.573844e-01 3.856202e-09
[103,] 3.749628e-03 1.714681e-03 9.945347e-01 9.443654e-07
[104,] 3.566770e-03 1.653220e-03 9.947793e-01 7.344061e-07
[105,] 7.258526e-03 3.298196e-03 9.894424e-01 8.927231e-07
[106,] 4.383626e-03 1.931999e-03 9.936838e-01 5.689127e-07
[107,] 1.105845e-02 1.979998e-03 9.869615e-01 5.652563e-08
[108,] 1.910064e-02 1.305158e-05 9.808863e-01 5.486667e-12
[109,] 1.935967e-02 1.127039e-06 9.806392e-01 7.313622e-14
[110,] 7.194306e-03 2.905034e-03 9.898994e-01 1.223139e-06
[111,] 3.625397e-02 1.917046e-02 9.445409e-01 3.466476e-05
[112,] 9.822759e-02 5.997959e-02 8.416322e-01 1.606516e-04
[113,] 4.352363e-01 4.412142e-01 1.201557e-01 3.393806e-03
[114,] 5.404469e-02 3.969060e-02 9.062092e-01 5.548394e-05
[115,] 6.374444e-02 3.182794e-02 9.042947e-01 1.329168e-04
[116,] 3.156809e-02 1.742440e-02 9.509983e-01 9.160544e-06
[117,] 1.646490e-02 9.894547e-03 9.736387e-01 1.887944e-06
[118,] 1.586474e-02 9.436186e-03 9.746979e-01 1.224280e-06
[119,] 1.804043e-02 1.142274e-02 9.705328e-01 3.990808e-06
[120,] 1.687839e-02 1.078004e-02 9.723380e-01 3.585118e-06
[121,] 1.254724e-01 7.444666e-02 7.969910e-01 3.089973e-03
[122,] 2.469687e-03 1.986794e-01 2.719263e-06 7.988482e-01
[123,] 7.510629e-05 1.867235e-01 1.060670e-10 8.132014e-01
[124,] 1.976581e-05 1.848201e-01 5.539849e-13 8.151601e-01
[125,] 1.868665e-04 1.807281e-01 1.790077e-11 8.190851e-01
[126,] 1.301423e-05 1.782882e-01 1.056225e-13 8.216988e-01
[127,] 2.382769e-05 1.781367e-01 1.225346e-12 8.218395e-01
[128,] 2.038880e-07 1.778524e-01 3.458478e-15 8.221474e-01
[129,] 1.591733e-11 1.778233e-01 1.566057e-19 8.221767e-01
[130,] 5.924679e-06 1.831381e-01 1.482767e-13 8.168560e-01
[131,] 4.410047e-05 1.816529e-01 9.059855e-13 8.183030e-01
[132,] 4.356844e-05 1.815621e-01 7.848920e-13 8.183943e-01
[133,] 3.117124e-06 1.827966e-01 5.123911e-14 8.172003e-01
[134,] 1.006668e-10 1.825817e-01 1.257580e-18 8.174183e-01
[135,] 3.511417e-05 1.820864e-01 1.251984e-12 8.178785e-01
[136,] 5.253409e-03 2.558224e-03 9.921857e-01 2.710200e-06
[137,] 5.793561e-03 2.416574e-03 9.917886e-01 1.285585e-06
[138,] 7.538666e-02 4.088482e-02 8.836885e-01 4.003389e-05
[139,] 5.422235e-02 3.368426e-02 9.120899e-01 3.456309e-06
[140,] 4.457543e-02 3.094467e-02 9.244701e-01 9.780494e-06
[141,] 1.670936e-01 8.915246e-02 7.423274e-01 1.426500e-03
[142,] 1.762366e-01 8.588738e-03 8.151745e-01 1.035353e-07
[143,] 9.895821e-04 7.053234e-01 1.317873e-07 2.936869e-01
[144,] 2.361336e-08 7.015205e-01 1.221490e-16 2.984794e-01
[145,] 3.183903e-07 7.015005e-01 8.363899e-16 2.984992e-01
[146,] 4.050436e-03 1.930544e-03 9.940188e-01 2.567511e-07
[147,] 8.049695e-03 4.195306e-03 9.877479e-01 7.144311e-06
[148,] 5.334748e-03 2.437413e-03 9.922265e-01 1.345457e-06
[149,] 2.028431e-02 3.277029e-03 9.764385e-01 1.254149e-07
[150,] 1.744811e-02 7.733792e-03 9.748168e-01 1.334745e-06
[151,] 1.134889e-02 2.525373e-03 9.861256e-01 9.216306e-08
[152,] 1.287298e-02 8.275571e-04 9.862995e-01 2.299884e-09
[153,] 1.754171e-02 3.799557e-07 9.824579e-01 2.606642e-13
[154,] 1.568509e-02 6.724650e-05 9.842477e-01 3.040380e-11
[155,] 1.731732e-02 9.866205e-10 9.826827e-01 1.319581e-16
[156,] 1.734337e-02 5.008492e-09 9.826566e-01 1.592762e-15
[157,] 4.397284e-02 1.688228e-02 9.391419e-01 2.941328e-06
[158,] 9.968908e-02 4.012842e-02 8.601571e-01 2.544707e-05
[159,] 3.166725e-01 1.889467e-01 4.911207e-01 3.260069e-03
[160,] 3.488154e-01 2.960793e-02 6.215759e-01 8.086811e-07
[161,] 3.522222e-01 1.451974e-02 6.332581e-01 9.448339e-09
[162,] 4.410419e-01 3.593866e-01 1.081417e-02 1.887573e-01
[163,] 2.056826e-03 6.730182e-01 1.468682e-08 3.249250e-01
[164,] 1.805025e-07 6.717472e-01 2.684797e-15 3.282526e-01
[165,] 6.696910e-03 3.661911e-03 9.896176e-01 2.354963e-05
[166,] 6.718336e-03 3.635608e-03 9.896273e-01 1.879379e-05
[167,] 4.856345e-02 9.229794e-04 9.505136e-01 1.203826e-08
[168,] 7.416868e-03 4.123185e-03 9.884378e-01 2.218237e-05
[169,] 1.162477e-02 7.196669e-03 9.811240e-01 5.453514e-05
[170,] 1.293249e-02 8.055970e-03 9.789734e-01 3.816678e-05
[171,] 4.654331e-02 9.250291e-05 9.533642e-01 2.476729e-10
[172,] 1.568498e-02 1.016285e-02 9.741095e-01 4.271181e-05
[173,] 2.347633e-02 1.428785e-02 9.622263e-01 9.561898e-06
[174,] 1.993417e-02 1.346053e-02 9.665641e-01 4.116594e-05
[175,] 4.508802e-02 2.580719e-02 9.290110e-01 9.378490e-05
[176,] 1.084851e-01 6.980886e-02 8.194539e-01 2.252198e-03
[177,] 7.984164e-02 2.203579e-02 8.981202e-01 2.377442e-06
[178,] 6.373415e-03 3.490371e-03 9.901180e-01 1.825444e-05
[179,] 1.041366e-02 6.305112e-03 9.832086e-01 7.261665e-05
[180,] 4.900319e-03 2.450759e-03 9.926467e-01 2.240819e-06
[181,] 8.950437e-03 3.704734e-03 9.873443e-01 5.692405e-07
[182,] 5.571495e-03 2.619121e-03 9.918087e-01 7.021929e-07
[183,] 9.310140e-03 2.652771e-03 9.880370e-01 1.077096e-07
[184,] 6.380464e-03 3.467086e-03 9.901304e-01 2.200113e-05
[185,] 7.264309e-03 4.064434e-03 9.886582e-01 1.304207e-05
[186,] 1.189742e-02 5.154465e-03 9.829473e-01 7.753330e-07
[187,] 7.767750e-03 4.098374e-03 9.881316e-01 2.286334e-06
[188,] 1.284091e-02 2.910683e-03 9.842483e-01 7.990155e-08
[189,] 4.535242e-03 2.157902e-03 9.933003e-01 6.594130e-06
[190,] 1.786753e-02 9.885462e-03 9.722362e-01 1.079176e-05
[191,] 3.861629e-03 1.790565e-03 9.943451e-01 2.738957e-06
[192,] 1.528363e-02 9.897175e-03 9.747553e-01 6.386018e-05
[193,] 4.701862e-03 2.236023e-03 9.930583e-01 3.783759e-06
[194,] 6.199995e-03 3.181111e-03 9.906058e-01 1.309982e-05
[195,] 1.607144e-02 1.020186e-02 9.737105e-01 1.621285e-05
[196,] 1.502356e-02 8.958773e-03 9.760128e-01 4.905094e-06
[197,] 2.130515e-02 9.516708e-03 9.691776e-01 5.766616e-07
[198,] 2.299173e-02 5.963607e-03 9.710445e-01 1.554624e-07
[199,] 4.078091e-02 1.066251e-02 9.485564e-01 1.616256e-07
[200,] 2.447814e-02 8.199292e-03 9.673224e-01 2.072827e-07
[201,] 2.245655e-02 4.531041e-03 9.730124e-01 3.063838e-08
[202,] 2.212823e-02 4.339171e-03 9.735326e-01 3.646598e-08
[203,] 1.017881e-01 1.858509e-02 8.796262e-01 5.194387e-07
[204,] 2.216253e-01 3.883610e-02 7.395378e-01 7.700729e-07
[205,] 1.596899e-01 5.699523e-02 7.833136e-01 1.236828e-06
[206,] 7.527028e-01 1.581864e-01 8.910288e-02 7.892709e-06
[207,] 5.942074e-01 3.728270e-01 3.280855e-02 1.571165e-04
[208,] 6.919774e-01 2.368047e-01 7.121660e-02 1.358250e-06
[209,] 6.910862e-01 2.569242e-01 5.198818e-02 1.347795e-06
[210,] 6.033172e-01 3.605352e-01 3.603270e-02 1.148384e-04
[211,] 1.302677e-01 8.153605e-01 2.905529e-05 5.434276e-02
[212,] 3.503709e-02 8.812407e-01 4.729495e-08 8.372216e-02
