             (1,R1)       (2,R1)       (1,R2)       (2,R2)
  [1,] 0.6763137492 3.005897e-01 2.093772e-02 2.158847e-03
  [2,] 0.6682066738 3.193909e-01 9.469424e-03 2.932954e-03
  [3,] 0.6477331343 3.430791e-01 4.640605e-03 4.547160e-03
  [4,] 0.6482155805 3.335898e-01 9.300604e-03 8.894039e-03
  [5,] 0.4946778611 4.653426e-01 8.696173e-04 3.910993e-02
  [6,] 0.5490881709 3.970466e-01 3.461233e-03 5.040403e-02
  [7,] 0.5123180595 4.066405e-01 2.735109e-03 7.830631e-02
  [8,] 0.6514067788 2.880027e-01 2.865042e-02 3.194006e-02
  [9,] 0.6415879202 2.827875e-01 3.234288e-02 4.328168e-02
 [10,] 0.5887396015 3.283906e-01 2.425252e-02 5.861726e-02
 [11,] 0.5569502309 1.651235e-01 2.366322e-01 4.129410e-02
 [12,] 0.5351223434 1.100103e-01 3.288617e-01 2.600566e-02
 [13,] 0.5434150180 8.867737e-03 4.462978e-01 1.419405e-03
 [14,] 0.6662325778 2.975798e-01 2.856981e-02 7.617811e-03
 [15,] 0.5318157975 2.006134e-01 1.874642e-01 8.010655e-02
 [16,] 0.5125279383 2.028925e-01 2.079751e-01 7.660454e-02
 [17,] 0.3322391053 1.290534e-01 4.523410e-01 8.636649e-02
 [18,] 0.2920290559 1.172595e-01 5.205586e-01 7.015287e-02
 [19,] 0.2021381214 7.310094e-02 7.049125e-01 1.984844e-02
 [20,] 0.2159829001 7.329779e-02 6.830650e-01 2.765435e-02
 [21,] 0.2033305594 3.890039e-02 7.484606e-01 9.308467e-03
 [22,] 0.1899680178 3.087657e-02 7.609175e-01 1.823788e-02
 [23,] 0.1744275075 1.385412e-02 8.056550e-01 6.063387e-03
 [24,] 0.1705580433 1.048955e-02 8.153172e-01 3.635206e-03
 [25,] 0.1883984586 1.461830e-05 8.115853e-01 1.585626e-06
 [26,] 0.1682174859 9.422262e-03 8.198197e-01 2.540522e-03
 [27,] 0.1655762982 1.020161e-02 8.223827e-01 1.839435e-03
 [28,] 0.6086639507 2.636308e-01 5.797756e-02 6.972768e-02
 [29,] 0.6236368835 2.959214e-01 5.884268e-03 7.455741e-02
 [30,] 0.6240112736 2.861548e-01 7.732170e-03 8.210178e-02
 [31,] 0.3687467047 5.071406e-01 2.511393e-03 1.216013e-01
 [32,] 0.0083584052 8.378313e-01 7.921009e-08 1.538103e-01
 [33,] 0.7322071303 1.666874e-02 2.466485e-01 4.475649e-03
 [34,] 0.7237262113 8.741672e-03 2.659198e-01 1.612282e-03
